codigo,descricao
01.00,SERVIÇOS PRELIMINARES E ADMINISTRAÇÃO DA OBRA
01.01,INSTALAÇÕES PARA CANTEIROS DE OBRAS
01.02,LOCAÇÃO DE OBRAS
01.03,DEMOLIÇÕES E REMOÇÕES
01.04,EQUIPAMENTOS DE PROTEÇÃO COLETIVA
01.05,SUPRESSÃO VEGETAL
01.06,ADMINISTRAÇÃO LOCAL DE OBRA
01.07,DESENVOLVIMENTO DE PROJETOS BÁSICOS E EXECUTIVOS
02.00,MOVIMENTO DE TERRA, DRENAGEM E ÁGUAS PLUVIAIS
02.01,ESCAVAÇÕES, ATERROS E COMPACTAÇÃO
02.02,VALAS - ESCAVAÇÃO, PREPARO, ESCORAMENTO E REATERRO
02.03,ESCAVAÇÃO PARA FUNDAÇÕES RASAS
02.04,TRANSPORTE DE MATERIAIS DENTRO DO CANTEIRO DE OBRAS
02.05,TRANSPORTE, CARGA E DESCARGA DE MATERIAIS
02.06,SISTEMAS DE DRENAGEM - TUBOS E DRENOS
02.07,SISTEMAS DE DRENAGEM - CAIXAS E GALERIAS
02.08,SISTEMAS DE DRENAGEM - ESTRUTURAS
02.09,DISSIPADORES DE ENERGIA
02.10,ESTRUTURAS DE PROTEÇÃO DE ATERRO
02.11,TRANSPORTE FLUVIAL - CARGA E DESCARGA
02.12,TRANSPORTE FLUVIAL - MOMENTO DE TRANSPORTE
02.13,DRAGAGEM
03.00,FUNDAÇÕES
03.01,ESTACAS BROCA, STRAUSS E ESCAVADA COM FLUIDO ESTABILIZANTE
03.02,ESTACAS ESCAVADAS SEM FLUIDO ESTABILIZANTE
03.03,ESTACAS RAIZ
